name,calories,protein,fat,carbs,fiber,sugar,sodium,ingredients,description,meal_type,region,precio_aprox,tiempo_prep
Café con leche y pan integral,250,8,6,40,3,12,280,"café,leche,pan integral,azúcar",Desayuno clásico ecuatoriano con pan,breakfast,general,bajo,5
Avena con banano,280,8,5,52,6,18,80,"avena,banano,leche,canela",Avena cocida con banano en rodajas,breakfast,general,bajo,10
Yogurt con granola,320,12,8,48,4,24,120,"yogurt natural,granola,miel",Yogurt con granola casera,breakfast,general,medio,3
Tostadas con aguacate,290,6,16,32,8,2,240,"pan,aguacate,sal,limón",Pan tostado con aguacate machacado,breakfast,general,bajo,5
Batido de frutas,200,4,2,42,4,32,60,"leche,banano,papaya,azúcar",Batido nutritivo de frutas,breakfast,general,bajo,5
Empanadas de queso,320,12,16,34,2,2,480,"harina,queso,aceite,sal",Empanadas fritas de queso,snack,general,bajo,20
Humitas dulces,280,6,8,46,4,14,120,"choclo,queso,huevo,azúcar",Humitas tradicionales ecuatorianas,snack,sierra,medio,30
Tortilla de verde,250,5,12,32,4,8,180,"plátano verde,queso,aceite",Tortilla frita de verde con queso,snack,costa,bajo,15
Plátano maduro frito,180,1,6,32,3,18,2,"plátano maduro,aceite",Tajadas de maduro frito,snack,general,bajo,10
Chifles,220,2,14,24,3,0,280,"plátano verde,aceite,sal",Chips de plátano verde,snack,general,bajo,15
Sanduche de jamón y queso,380,18,14,42,2,4,680,"pan,jamón,queso,tomate,lechuga",Sánduche simple y nutritivo,lunch,general,bajo,5
Arroz con lentejas,340,14,4,62,10,3,280,"arroz,lentejas,cebolla,ajo,comino",Arroz mezclado con lentejas,lunch,general,bajo,25
Sopa de fideo con huevo,220,10,6,32,2,2,460,"fideo,huevo,zanahoria,cebolla",Sopa casera con huevo,lunch,general,bajo,15
Tallarín con huevo,380,14,10,58,3,3,320,"tallarín,huevo,cebolla,tomate",Tallarín salteado con huevo,lunch,general,bajo,15
Ensalada de atún,280,22,12,18,4,4,520,"atún,lechuga,tomate,cebolla,limón",Ensalada fresca con atún,lunch,general,bajo,10
Tostada con mantequilla de maní,340,12,16,38,4,8,240,"pan integral,mantequilla de maní,banano",Tostada nutritiva con proteína,breakfast,general,bajo,5
Quesadilla de queso,380,16,18,38,2,2,580,"tortilla,queso,aceite",Quesadilla simple de queso,snack,general,bajo,8
Arroz con huevo y aguacate,420,14,18,52,6,1,240,"arroz,huevo,aguacate,sal",Plato completo y balanceado,lunch,general,bajo,15
